,localizacao,title,url,valor
133,Belém -  PA,IPhone 6,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-6-804062633,R$ 1.000
134,Brasília -  DF,IPHONE SE 32GB,https://df.olx.com.br/distrito-federal-e-regiao/celulares/iphone-se-32gb-804062596,R$ 150
135,Salvador -  BA,IPhone 11,https://ba.olx.com.br/grande-salvador/celulares/iphone-11-804062577,R$ 4.450
136,Mesquita -  RJ,Iphone 7 Plus de 128 gb,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-7-plus-de-128-gb-804062551,R$ 2.200
137,Rio de Janeiro -  RJ,IPhone 5s 16 gigas,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-5s-16-gigas-804062529,R$ 400
138,Curitiba -  PR,IPhone 7 Gold 32GB,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/celulares/iphone-7-gold-32gb-804062523,R$ 1.290
139,Goiânia -  GO,Iphone 7 plus rosé 128g,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-7-plus-rose-128g-804062516,R$ 2.000
140,Salvador -  BA,Iphone 11 lacrado com garantia de 1 ano ,https://ba.olx.com.br/grande-salvador/celulares/iphone-11-lacrado-com-garantia-de-1-ano-804062496,R$ 4.450
141,Boa Vista -  RR,IPhone 8 - 64 gb,https://rr.olx.com.br/roraima/celulares/iphone-8-64-gb-804062492,R$ 2.000
142,Gurupi -  TO,"IPhone 6s 32g, Cinza Espacial",https://to.olx.com.br/tocantins/celulares/iphone-6s-32g-cinza-espacial-804062482,R$ 1.100
143,Manaus -  AM,LG K8 poucos dias de uso,https://am.olx.com.br/regiao-de-manaus/celulares/lg-k8-poucos-dias-de-uso-804062421,R$ 350
144,Fortaleza -  CE,Iphone X S Máx ,https://ce.olx.com.br/fortaleza-e-regiao/celulares/iphone-x-s-max-804062408,R$ 4.000
145,Belo Horizonte -  MG,Fone iPhone original ,https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/fone-iphone-original-804062364,R$ 80
146,Piracicaba -  SP,IPhone 11 Pro Max 256Gb,https://sp.olx.com.br/grande-campinas/celulares/iphone-11-pro-max-256gb-804063051,R$ 6.300
147,Juiz de Fora -  MG,IPhone 8,https://mg.olx.com.br/regiao-de-juiz-de-fora/celulares/iphone-8-804062353,R$ 1.700
148,Rio de Janeiro -  RJ,Iphone 8 plus 64 G oportunidade!,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-plus-64-g-oportunidade-804062347,R$ 1.800
149,Palotina -  PR,Iphone,https://pr.olx.com.br/regiao-de-maringa/celulares/iphone-804062331,R$ 1.300
150,Rio de Janeiro -  RJ,Samsung s10 128gb zero C/ Nota fiscsl,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/samsung-s10-128gb-zero-c-nota-fiscsl-804062304,R$ 2.199
151,Vitória -  ES,Moto G8 Power 4/64GB ,https://es.olx.com.br/norte-do-espirito-santo/celulares/moto-g8-power-4-64gb-804062226,R$ 1.299
152,Belford Roxo -  RJ,IPhone 6s,https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-6s-804062225,R$ 900
153,João Pessoa -  PB,iPhone X,https://pb.olx.com.br/paraiba/celulares/iphone-x-804062200,R$ 3.000
154,Porto Grande -  AP,iPhone 6 SPlus,https://ap.olx.com.br/amapa/celulares/iphone-6-splus-804062156,R$ 1.250
155,Montes Claros -  MG,Vendo iPhone 6 32GB,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/celulares/vendo-iphone-6-32gb-804062133,R$ 450
156,Viamão -  RS,PlayStation 4 pro 1 tb,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-1-tb-804062122,R$ 3.000
157,Campo Grande -  MS,IPhone 7 Plus Red 256 GB,https://ms.olx.com.br/mato-grosso-do-sul/celulares/iphone-7-plus-red-256-gb-804062026,R$ 2.500
158,Serra -  ES,IPhone 7 Rose,https://es.olx.com.br/norte-do-espirito-santo/celulares/iphone-7-rose-804061999,R$ 1.399
159,São Paulo -  SP,IPHONE 8 ,https://sp.olx.com.br/sao-paulo-e-regiao/celulares/iphone-8-804061976,R$ 1.950
160,Ananindeua -  PA,IPhone 6s 32G,https://pa.olx.com.br/regiao-de-belem/celulares/iphone-6s-32g-802633108,R$ 1.600
161,Goiânia -  GO,IPhone 11 128gb ANATEL NOVO LACRADO,https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-anatel-novo-lacrado-804061947,R$ 4.899
